"Source";"Importance_pct"
"wind_lag1";"35.9218"
"doy_cos";"14.7045"
"doy_sin";"11.9436"
"wind_roll168";"8.7033"
"solar_roll168";"6.9374"
"solar_roll24";"6.3403"
"wind_roll24";"5.0029"
"hour_sin";"2.9288"
"dayofweek";"1.8845"
"wind_lag24";"1.7804"
"month";"1.5916"
"solar_lag1";"1.0496"
