"Source";"Importance_pct"
"wind_lag1";"84.4350"
"wind_roll24";"5.1492"
"solar_lag24";"2.2991"
"hour_cos";"2.0307"
"hour";"1.3878"
"solar_lag1";"1.0230"
"solar_roll24";"0.6048"
"hour_sin";"0.5981"
"wind_lag24";"0.5627"
"doy_cos";"0.5489"
"solar_roll168";"0.4615"
"doy_sin";"0.4434"
