"Source";"Importance_pct"
"solar_lag24";"60.8344"
"solar_lag1";"13.8649"
"hour";"9.4571"
"hour_sin";"9.1361"
"solar_roll24";"6.4606"
"hour_cos";"0.1311"
"doy_cos";"0.0806"
"month";"0.0171"
"is_daylight";"0.0117"
"solar_roll168";"0.0064"
"is_holiday";"0.0000"
"doy_sin";"0.0000"
